"9	very satisfied	I am very satisfied with my journey to work.  Never on my return journey",,,,,
"11865	very satisfied	Cannot think of anything to improve on my journey",,,,,
"11862	very satisfied	The bus journey was pleasing. More care for the elderly and clean the windows.",,,,,
"11861	fairly satisfied	Run on time - was about 7 minutes late. Have been a long day as had been in Wolverhampton and couldn't get from Stockport to Cheadle Hulme by rail as planned strike.",,,,,
"11856	fairly dissatisfied	Giving the school kids their own bus so others can get where they want to be on time",,,,,
"11853	very satisfied	More routes available.",,,,,
"11852	fairly dissatisfied	The length", too slow and too many stops. A recurring issue is that the bus comes late without any apology-it's expected. This is the supposedly 16:10 service from Milton Keynes Central Station which always come late. The bus needs announcements for each bus stop too, there is a complete lack of information inside the bus.,,,
"11851	very satisfied	Have poles on the front in the front to hold onto when getting off.",,,,,
"11847	very satisfied	Less traffic.",,,,,
"11845	very satisfied	Good journey.",,,,,
"11842	very satisfied	A seat in the bus  shelter at the Maryport / Curzon Road stop.",,,,,
"11839	fairly satisfied	As I use a mobility scooter so I have to sit with my back to the driver.  Usually I can't see out of the window.",,,,,
"11836	very satisfied	My journey on the number 2 bus was perfect. I live at Fulbourn and one service to home town is very erratic despite there are frequent  buses  to Cherry Hinton. I suspect that some just stop at Tesco and do not complete the journey. The half an hour service used to be 15 minutes . (some of the bus comes illegible)",,,,,
"11835	fairly satisfied	I don't find the seats on the Zap comfortable.  The covering is slippery and there are too few forward facing seats.  I prefer the Coastliner but had missed it.",,,,,
"11833	fairly satisfied	Heating and air con on all buses is very ineffective and often gives opposite result to what is intended.",,,,,
"11832	fairly dissatisfied	To get off my first bus 55 and not have to run to catch 63 by Cabbage pub", Gorsey Lane. These bus is seem to have same time, if I miss the 63 I than  have to 52 to Marian square and pray that the 63 is parked up at the Netherton NAC so then I can catch bus.,,,
"11831	fairly satisfied	People who suffer from vertigo due to movement speed should be allowed to sit down first. People who suffer due to height (seating) should be given seats in the front.",,,,,
"11829	fairly satisfied	Better heating system on the bus", (was too cold),,,,
"11825	neither satisfied nor dissatisfied	Sort the 49 route out",,,,,
"11824	fairly satisfied	Please come on exact time of schedules.",,,,,
"11819	neither satisfied nor dissatisfied	Routes and times.",,,,,
"11818	fairly satisfied	Not hitting all of the potholes",,,,,
"11816	very satisfied	The bus driver waiting for everyone to sit down.",,,,,
"11814	fairly dissatisfied	Ensuring buses turn up on time", ensuring buses don't get cancelled without being made aware so you end up waiting longer than expected with more passengers joining the queue, so when the bus does turn up its already full and drives on by, so you end up having to wait another one,,
"11808	very satisfied	The cleanliness of the seats e.g. leather.",,,,,
"11806	neither satisfied nor dissatisfied	Cheaper",,,,,
"11805	very satisfied	Satisfied with the bus service",,,,,
"11804	fairly satisfied	Waiting around in certain bus stops to catch up on the time.",,,,,
"11802	fairly dissatisfied	Bus 5 is almost late every time", especially during school runs, seems to be unreliable to use it for kids school. Can do better,,,
"11801	very satisfied	An electronic display showing next stop.",,,,,
"11800	fairly satisfied	Bus being on time.",,,,,
"11799	neither satisfied nor dissatisfied	Ticket buying process on the bus takes too long.",,,,,
"11792	fairly satisfied	Slightly more room between seats in front or a person.",,,,,
"11789	very satisfied	Nothing that I can think of", it was a very good park and ride service.,,,,
"11788	fairly satisfied	An updated timetable or live information online would be helpful for while the major roadworks are on. I take this bus every day and it varies from being on time", and up to 40 mins late.,,,,
"11785	fairly satisfied	My husband is wheelchair bound and finds it difficult on some buses due to prams and shoppers. Double decker buses are much easier for him but only run at weekends so he has to go Woodhouse Village to catch a 52 double decker. Why?",,,,,
"11783	fairly satisfied	Coming on time",,,,,
"11781	neither satisfied nor dissatisfied	The 300 needs double decker on the 8o'clock service as always busy.",,,,,
"11780	very satisfied	The number 5 Bus is an excellent service. I board at Terminus Tile Hill village considering the distance of the route compared to the 18 or 18A. The only problem is I can't use it on Sundays.",,,,,
"11778	fairly dissatisfied	Charging ports working", less dirty.,,,,
"11775	neither satisfied nor dissatisfied	Bus late.",,,,,
"11773	neither satisfied nor dissatisfied	More buses on my route. Thank you.",,,,,
"11772	fairly satisfied	Think it would be good to have student fares because I have to travel to and from Exeter College everyday", which is very expensive,,,,
"11770	very satisfied	Can't think of anything at present. It was a very satisfying journey.",,,,,
"11769	fairly satisfied	Mostly the 471 buses are always late and some don't even turn up at the correct time and if they are late there are usually 2 or 3 of them at once",,,,,
"11768	very satisfied	Leather seats", charging points  like other Stagecoach buses.,,,,
"11767	fairly satisfied	1. Lighting around bus steps. 2. Ticket price - it is cheaper for a day return to Maidstone (?5) than it is to go ten to fifteen minutes from Sutton Valence to Headcorn/Tenterden. A standard return is considerably higher which seems unfair. Please look into this",,,,,
"11766	fairly satisfied	Time for leather seats. Bus to pull up closer to kerb. I saw someone handicapped fall getting off the bus", driver never helped.,,,,
"11764	fairly satisfied	Buses on time. No rude drivers",,,,,
"11763	fairly satisfied	An information on screen - location of bus in relation to the route. Have to check app to see when stop is coming up.",,,,,
"11762	fairly satisfied	To give time for parents to sit down with little children before driving off. My little girl ( 2 year old) fell forward because the driver didn't wait till we sat down.",,,,,
"11760	very satisfied	Bus Times timetable at the bus stop    Accessibility for the Blind",,,,,
"11759	fairly satisfied	More room for shopping trollies as driver delayed as having to wait while people with trollies and buggies tried to move them into a place. 55 passengers had room to get on and off the bus which means driver cannot pull away as many trolley user are elderly or disable.",,,,,
"11757	very satisfied	Air conditioning.",,,,,
"11756	very satisfied	Nothing everyone was great",,,,,
"11754	fairly satisfied	If the buses were spaced further apart rather than ten minutes.",,,,,
"11752	fairly satisfied	Not standing at a naked stop in a gale like wind. Being able to go earlier when the service is off for children. More choice of time than one (or at times two) hours.",,,,,
"11751	very satisfied	Nothing to complain about",,,,,
"11750	neither satisfied nor dissatisfied	Buses need to come on time as stated on timetable. Get rid of all buses as it makes a lot of noises and not on rocking good. Make university students fare cheaper",  example  ?1 per journey,,,,
"11748	fairly satisfied	A bus shelter at the stop in Wilschen just before the school as sometimes this bus is late and waiting in bad weather with kids is not good when it doesn't turn up we have to wait another half an hour.",,,,,
"11747	fairly satisfied	Earlier bus",,,,,
"11744	very satisfied	Cleaner bus.",,,,,
"11741	fairly satisfied	A little bit more room to put my shopping trolley. Some of the buses have a little bit more room than the one that I was on today.",,,,,
"11738	fairly dissatisfied	For buses to turn up on time or have a between time on timetable / traffic updates 64A bus to run earlier for people who work",,,,,
"11739	very dissatisfied	35 bus to and from work are never on time. The electronic timetable at the bus stop is a waste of time. No numbers to complain. If two buses turn up at the same time then you have to wait forty-five for the next bus. I can only catch the 35",,,,,
"11736	very satisfied	Naming next bus stop to help those unfamiliar with the route",,,,,
"11735	fairly satisfied	Don't let enormous buggies on as they block wheelchair access but they don't care. It's a me me me world.",,,,,
"11733	very satisfied	Better facility at bus stop .  Somewhere warm to wait during winter .  Keep Tesco bus connection to a Thursday", it's changed to Tuesday, not convenient for me.,,,
"11734	very satisfied	I was very satisfied with my journey and can think of no improvements that would be necessary.",,,,,
"11731	fairly satisfied	Shorter stop signs at bus stops.",,,,,
"11729	fairly satisfied	I found 84 return too expensive!",,,,,
"11727	neither satisfied nor dissatisfied	Bus information at bus stops", electronic displays needed.,,,,
"11725	neither satisfied nor dissatisfied	Driver needs to drive faster and not stop for three minutes every stop.",,,,,
"11726	neither satisfied nor dissatisfied	Time it takes to get out of bus station.",,,,,
"11723	fairly satisfied	Finally finishing the road works at Bristol Temple Meads railway station.",,,,,
"11724	fairly satisfied	Bus company have alternated bus times and routes not very convenient  they send a small bus when there are lots of passenger and double decker when not many.",,,,,
"11722	fairly satisfied	Ask drivers to be a bit more social to customers.",,,,,
"11721	fairly satisfied	825 from Rugeley to Stafford far too busy weekdays at 07.30 due to college",,,,,
"11719	fairly satisfied	The bus being on time",,,,,
"11718	fairly dissatisfied	Put more double decker buses. You could improve this when school is on.",,,,,
"11717	fairly satisfied	Cheaper fares", getting almost the same as a taxi.,,,,
"11716	very dissatisfied	The main problem is always that buses just don't turn up.  Despite fancy display boards!!!  I have waited sometimes forty minutes for a bus which should come every ten (Then had to get a taxi)",,,,,
"11715	fairly satisfied	Charging points",wi-fi.,,,,
"11713	fairly dissatisfied	Buses need to be on time. Bus stops need renewing", they are too far uphill on Canterbury Road.,,,,
"11712	very satisfied	Nothing needed to be improved.",,,,,
"11710	neither satisfied nor dissatisfied	Kept hitting kerb", this happens a lot on 73 and 74,,,,
"11709	fairly satisfied	The waiting time for the bus.",,,,,
"11705	fairly satisfied	Have more friendly drivers and easy to approach.",,,,,
"11703	fairly satisfied	The prices of the ticket", I'm 16 I should pay child but I have to pay adult.,,,,
"11702	fairly satisfied	The journey was all good", the waiting time was only long because I expected to get a different bus (NCT 35) which had been diverted (I was unaware),,,,
"11701	fairly satisfied	If passengers don't conform to   general politeness bus driver should be able to give them a verbal warning regardless of age then put them off they don't conform.",,,,,
"11699	fairly satisfied	That we didn't have a collision with a car.",,,,,
"11697	fairly satisfied	A newer bus.",,,,,
"11696	very satisfied	Timetable on the bus. A map showing the route of the bus",,,,,
"11694	neither satisfied nor dissatisfied	The bus to keep time", particularly during peak times!,,,,
"11693	fairly satisfied	When its dark outside and there's condensation on the windows it's difficult to see your stop anyway. This is not helped by dirt on windows",,,,,
"11692	very satisfied	I have used No 3 bus to & from town since my husband died in 2003 and found it a good service and mostly runs on time (occcassional delay due to unforseen circumstances no fault of driver or service)",,,,,
"11689	fairly satisfied	My service X3 is currently delays through roadworks on A338 which can severely delay. Their arrival", real time information on these delays would be useful at present is non-existent.,,,,
"11690	fairly satisfied	Comfort of the seats and space to put shopping.",,,,,
"11687	fairly satisfied	Frequency of buses to Franwellgate Moor.",,,,,
"11684	very satisfied	All good including our free travel pass",,,,,
