0	fairly satisfied	Stop near to kerb as have bad legs and wait till people sit down.
1	fairly satisfied	20 minute late could be improved
2	fairly satisfied	If you'd asked me all this on my journey into town I would be putting very satisfied for both smoothness and safety .  Very jerky , quick braking and movement was abrasive when dodging other buses on the Boothferry Estate.  The journey was fine though.
3	fairly satisfied	Too many stops on the route. You no sooner leave one stop than you are at the next. It means the bus is constantly stopping and starting. Plus the lengthy stops outside McVities. Plus in a morning the number of students getting on at Stockport precinct makes it hard to then get off at my stop.
4	very satisfied	Ok.
5	very dissatisfied	Punctuality. Better trained drivers on new bus
6	fairly satisfied	Bus being on time.
7	neither satisfied nor dissatisfied	The cleanliness of the inside of the bus and the windows cleaned. The drivers lowering the floor for you to get on and of f, allowing time for you to sit down and get off. Stopping people putting their feet on seat and legs on seats.
8	fairly dissatisfied	74 to arrive on time.
9	fairly satisfied	Single passengers taking up a whole seat, by either sitting on the edge or placing their bags there
10	very satisfied	Impossible to improve anything.  Trent Barton provide excellent service.
11	fairly satisfied	Big pushchairs blocking access no room for shopping trolleys old people not able to access front seats passengers unable to past!!
12	neither satisfied nor dissatisfied	Wi-Fi , haven't been able to access free Wi-Fi on these buses for months.
13	very satisfied	No comment as all is good
14	fairly satisfied	Not a complaint but the drivers change over very often during shifts. Some like to natter for a goods five minutes sometimes!
15	very satisfied	This was a nice pleasant journey , I would have liked a later service from Bewdley on the 294 to have avoided Kidderminster.
16	fairly dissatisfied	A busy route used by many people often. 10pm full bus within no seating every night
17	fairly satisfied	This form does not account for drivers and at different times.  The bus can be quite late, no seating facility at some bus stops.  It would be good to have a half hourly town service.  Again at the south end of Gainsboro.
18	very dissatisfied	Students could have given me a seat.
19	neither satisfied nor dissatisfied	Some information on the times on the bus.
20	fairly satisfied	Bring back old crew at least the bus was always on time smartly dressed always pleasant and helpful.
21	fairly dissatisfied	The 25 bus route is always bad time keeping at arrival at bus stop.  Always bad.
22	fairly satisfied	Indication of buses stopping at bus stop not listed and no timetables or electronic screens. Normal bus stop out of use (by Wilko)
23	fairly satisfied	Buses on time. No rude drivers
24	very satisfied	Totally satisfied on this journey, sometimes can be a problem i.e. movement when getting off the bus.
25	fairly satisfied	To give time for parents to sit down with little children before driving off. My little girl ( 2 year old) fell forward because the driver didn't wait till we sat down.
26	fairly satisfied	So that everyone understands signage due to foreign students having signs in multiple languages would 've helpful.
27	very satisfied	It would be very hard to improve.
28	neither satisfied nor dissatisfied	Make the 18 every 30 minutes.
29	fairly dissatisfied	For buses to turn up on time or have a between time on timetable / traffic updates 64A bus to run earlier for people who work
30	neither satisfied nor dissatisfied	The time I boarded the bus at Sainsbury's supermarket to getting to the park and ride site varies so much that one day I can transfer to the bus in front. Another day I can be sat on the bus until they decides it's time to go - consistency
31	fairly dissatisfied	Not having to get two buses to college and back home
32	fairly satisfied	Very bumpy and shaky, felt ill.
33	very dissatisfied	Arriva is the worst bus company I've ever used.  Buses are never on time, finding info on site is so difficult , bus stations aren't labelled correctly and they wait ages at bus stops and I'm always late.  It is a shock to ever be home only or on time .
34	fairly satisfied	Bus maintained not breaking down.
35	fairly satisfied	Time to sit down as being pregnant while the bus moved makes me jolt.
36	fairly satisfied	Bus stop too far out in town, when you have heavy shopping - they have moved it too far down.
37	fairly satisfied	Fixing timetables so they have longer to get to the swap point so I don't miss the next bus.
38	very satisfied	Nothing the journey was fine
39	fairly satisfied	Stopping near the raised Kerb side as this impossible with the community buses.
40	fairly satisfied	The buses now used in X3 journey seem to have changed as they no longer have wi fi etc also bus late
41	fairly satisfied	Youth eating yoghurts etc. and leaving all litter on floor, talking really loudly.
42	fairly dissatisfied	Hygiene of bus. Type of seats to be changed.
43	fairly satisfied	More frequent buses. Later in the evening buses.
44	fairly satisfied	punctuality of bus, and getting to the destination when it is supposed to get there
45	neither satisfied nor dissatisfied	More room for scooter, drivers more helpful towards a mobility customer
46	fairly satisfied	The bus route that I used to take from home was cut out any runs from 9:30 to 2:30 and I work 9 to 5. The 36 route needs to be put back on to save hours to get multiple buses everyday.
47	fairly dissatisfied	The bus being on time
48	very satisfied	Very satisfied.
49	neither satisfied nor dissatisfied	Some of the drivers are very rude and unhelpful, many times I have been upset by their attitude. I use the buses everyday and I can honestly say I am mainly disaapointed with the service
50	fairly satisfied	The amount of space you have with someone sat next to you
51	very satisfied	Very happy with 1X service. When you catch other buses i.e. 21 and 16, bus seats are covered in filth
52	fairly satisfied	Today everything was ok as it was a short journey
53	fairly satisfied	Been on time I was late for work.
54	fairly dissatisfied	Windows could be cleaner, beautiful views on some routes in Cornwall but windows always dirty.
55	fairly satisfied	This journey was generally good the driver seemed to be sharp on accelerating/braking at times.
56	fairly satisfied	More space on bus.  More seats.
57	very dissatisfied	The No 8 to Manchester is never ever on time. They're supposed to frequent every ten minutes and may not even arrive for forty five minutes at a time, at which point two will arrive following behind each other for the rest of the journey.
58	fairly satisfied	Everywhere I go I have to get two buses.  It was not the only bus I had to board to get to Kings Heath.  I also had to get the No.11 which I had to wait twenty minutes for then two turned up together.  No bus shelters on the No.1 or No.2 route where I live.
59	neither satisfied nor dissatisfied	Be there on time ALWAYS!
60	neither satisfied nor dissatisfied	A lot of people generally get on so a single decker is inadequate for the journey
61	fairly satisfied	Didn't take as long to get to my destination
62	neither satisfied nor dissatisfied	Drivers not to be too serious just showing a happy face.
63	very satisfied	Nothing at all (good service and value for money)
64	fairly dissatisfied	Buses to turn up on time, or not to come in threes and not to have buses missing and drivers not caring how long you have waited.
65	fairly satisfied	More up to date information
66	fairly dissatisfied	The buses sticking to the timetable. The 57 should come eight to ten minutes. The company doesn't stick to timetable. Have waited a long time then two or three buses turn up at the same time.
67	fairly dissatisfied	Bus on time .  Cleaner bus .  Giving schoolkids their own bus.
68	very satisfied	Nothing, very satisfied.
69	fairly dissatisfied	Delays due to roadworks - no communication. No communication at Bus stops regularly diverted bus routes! Accesibility of some bus stops are very poor for wheelchair users like my son.
70	fairly satisfied	More seats/additional services at this time of day due to amount of school children having to use the bus, most of these children do not get seats. Have to stand and make it difficult for others to leave the bus
71	fairly dissatisfied	Put more double decker buses. You could improve this when school is on.
72	fairly satisfied	Always have announcements of the next stop coming     Have some information about the fare on the bus stops, I never know how much money I need
73	fairly satisfied	The driver - aiming to come in close to the kerb later stopping - twice hit the kerb itself - no problem for the passengers but it would scrape the bus.
74	fairly satisfied	You have a lot of people working till late so make the bus stay active till 10pm at least.
75	very satisfied	Nothing could be improved, excellent service.
76	fairly satisfied	More bus times! If I was rating the morning journey, this would be a lot more depressing.  Never on time  (by 15 minutes +) rude and cold.
77	neither satisfied nor dissatisfied	The bus to keep time, particularly during peak times!
78	fairly satisfied	Price of ticket for only moving two stops is stupidly high.
79	fairly satisfied	The bus came five minutes late.
80	fairly satisfied	Not to be overcrowded at front of bus.
81	fairly dissatisfied	Punctuality - bus was 15 mins late
82	very satisfied	I was satisfied. Have in the past objected to teenager with feet on seats.
83	fairly satisfied	The bus from Severn Beach is usually ten to twenty minuteslate all day!
84	fairly satisfied	Routes 5 and 6 are usually late most days. Punctuality needs improving
85	very dissatisfied	All transport need to have a good shake up.
86	very satisfied	Good journey
87	fairly satisfied	More space.
88	fairly satisfied	Bus being on time .  Why two buses arrive together , greeting by driver , boarding and disembarking.
89	fairly satisfied	Last week the  bus did not come. I was at the bus stop from 9:50 to 10:15am. This was very disappointing.
90	very dissatisfied	If the buses pass on the other side of the road, the first bus has been delayed. It should leave the terminus straight away so it is not late.
91	fairly satisfied	For buses to arrive on time.
92	fairly satisfied	My bus stop  was closed due to builders.  Could not a temporary stop been available a few yards down the road. The builders seem to be in no hurry finishing this job.
93	fairly satisfied	this journey was great but usually the bus drivers are not friendly and do not really speak to customers
94	fairly dissatisfied	Stopping some of the passengers from smoking and playing loud music and littering
95	fairly satisfied	It would be good if the buses on this route were on time like today every time and also if it ran on a Saturday.
96	very dissatisfied	The traffic a long plum rock
97	fairly dissatisfied	Bus 5 is almost late every time, especially during school runs, seems to be unreliable to use it for kids school. Can do better
98	neither satisfied nor dissatisfied	Make sure heating is on. If bus is at the beginning of the journey let passengers on don't kick them out in the cold and wet.
99	very satisfied	Lovely driver, good service
100	very satisfied	Cannot think of anything.
101	very satisfied	On this journey (nothing)
102	very satisfied	All good.
103	fairly dissatisfied	Punctuality of the bus.
104	very satisfied	Naming next bus stop to help those unfamiliar with the route
105	fairly dissatisfied	more frequent buses around college hours, they get too full and dive past people who are then late
106	fairly dissatisfied	Charging ports working, less dirty.
107	fairly dissatisfied	It takes too long!
108	fairly satisfied	More cheerful driver.
109	fairly satisfied	I'm deaf so can't hear the bell when pressed. I rely on the visual signal "stopping" When this is not working I don't know if the bell is working.
110	neither satisfied nor dissatisfied	Bus being on time. Bus being able to pull in at current bus stop at station - had to stop in middle of road - not safe!
111	fairly satisfied	Give us time to sit down before moving off in 83.
112	neither satisfied nor dissatisfied	The price, I don't feel that the inflation of the bus service fare justifies the bus service.
113	fairly satisfied	Availability of space around bus stop, very overly crowded in new bus stop previously on Colmore Raw.
114	fairly satisfied	Congestion, jams.
